Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Gamaleya Research Institute,Vaccine,Non-replicating viral vector,Phase III,"Announced the start of the rolling review process with the European Medicines Agency (EMA) on 3/4/2021; Authorized for ""emergency use"" in 39 countries as of March 2021; Phase III interim analysis results published on 2/2/2021; ""Registered"" in Belarus in December 2020; Phase III final control point data analysis results released December 2020, interim data analysis results released November 2020; Phase III (post-registration) trial began September 2020; Phase I/2 began June 2020, results published September 2020; Russian Ministry of Health ""registered"" vaccine in August 2020, Mass production expected to begin September 2020",Adeno-based; (Gam-COVID-Vac) (Sputnik V),"NCT04436471, NCT04437875, NCT04530396, NCT04564716, NCT04587219, NCT04640233, NCT04642339, NCT04656613, NCT04713488, NCT04741061",Russian Direct Investment Fund (RDIF),"The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31866-3/fulltext), Gamaleya Center and RDIF (https://sputnikvaccine.com/newsroom/pressreleases/the-first-interim-data-analysis-of-the-sputnik-v-vaccine-against-covid-19-phase-iii-clinical-trials-/), Gamaleya Center and RDIF (https://sputnikvaccine.com/newsroom/pressreleases/second-interim-analysis-of-clinical-trial-data-showed-a-91-4-efficacy-for-the-sputnik-v-vaccine-on-d/), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00234-8/fulltext)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
Shenzhen Geno-Immune Medical Institute,Vaccine,Non-replicating viral vector,Phase I/II,Phase I/II reportedly began March 2020,LV-SMENP-DC vaccine and antigen-specific CTLs,NCT04276896,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
"City of
  Hope Medical Center",Vaccine,Non-replicating viral vector,Phase I,Phase I dosed December 2020,MVA-based SARS-CoV-2 vaccine; (COH04S1),NCT04639466,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
German Center for Infection Research (DZIF)/ IDT Biologika GmbH/ Universitätsklinikum Hamburg-Eppendorf/ Philipps University Marburg Medical Center/ Ludwig-Maximilians University of Munich,Vaccine,Non-replicating viral vector,Phase I,"Clinical testing suspended January 2021, Phase II postponed until further notice; Phase I dosed October 2020",Non-replicating viral vector; MVA-S encoded,NCT04569383,Unknown,,Same platform as vaccine candidates for many pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/14/2021
ImmunityBio/ NantKwest,Vaccine,Non-replicating viral vector,Phase I,"FDA authorized the expansion of the active Phase I trial and a second trial to test a novel combination of T-cell-based hAd5 subcutaneous prime vaccine with a room-temperature oral or sublingual boost; Phase I trial expected to begin in South Africa in February 2021; Phase I interim data announced November 2020; Pre-clinical data released December, November, and July 2020; Phase I trial dosed in the U.S. in October 2020; Selected for US Operation Warp Speed in May 2020","Non-replicating viral vector; [E1-, E2b-, E3-] hAd5-COVID19-Spike/Nucleocapsid","NCT04591717, NCT04710303, NCT04732468",Unknown,,"Same platform as vaccine candidates for flu, Chik, Zika, EBOV, LASV, HIV/SIV, cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/12/2021
ReiThera/ Leukocare/ Univercells/ National Institute of Infectious diseases Lazzaro Spallanzani,Vaccine,Non-replicating viral vector,Phase I,"Phase II/III is expected to begin in the coming months; Phase I advanced to second set of three cohorts (aged 65-85 years) in November 2020; Phase I began August 2020, completed the first set of three cohorts (aged 18-55 years), preliminary results announced November 2020; Phase II/III trial expected to begin in the coming months",Non-replicating viral vector; replication defective simian adenovirus encoding SARS-CoV-2 S (GRAd-CoV2),"EudraCT 2020-002835-31, EudraCT 2020-005915-39, NCT04528641",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
Vaxart/ Emergent BioSolutions,Vaccine,Non-replicating viral vector,Phase I,"Phase II expected to begin Q2 2021; Phase I preliminary data announced 2/3/2021; Phase I dosed October 2020; FDA clearance for Phase I trial received September 2020, recruiment expected to begin September 2020; Pre-clinical results released September 2020; Data from ongoing animal challenge study released October and November 2020","Non-replicating viral vector; Oral Vaccine
 platform",NCT04563702,Unknown,Vaxart (https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-positive-preliminary-data-phase-1-clinical),"Same platform as vaccine candidates for InfA, CHIKV, LASV, NORV, EBOV, RVF, HBV, VEE",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
Altimmune / University of Alabama at Birmingham,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I commenced enrollment on 2/25/2021; Phase I expected to begin February 2021; FDA issued clinical hold for planned Phase I trial on 12/22/2020;Pre-clinical data released October 2020,"AdCOVID; single-dose, intranasal vaccine; non replicating viral vector; adenovirus-based NasoVAX expressing spike protein",NCT04679909,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
Ankara University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Bharat Biotech International Limited,Vaccine,Non-replicating viral vector,Pre-clinical,Phase I expected to begin March 2021,"BBV154; adenovirus vectored, intranasal vaccine",NCT04751682,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
Bharat Biotech/ Thomas Jefferson University,Vaccine,Non-replicating viral vector,Pre-clinical,Pre-clinical data published October 2020,Recombinant deactivated rabies virus containing S1; (CoraVax),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
"CanSino Biologics/ Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",Vaccine,Non-replicating viral vector,Pre-clinical,Phase I recruitment began end of September 2020,Ad5-nCoV,NCT04552366,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/2/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,"Non-replicating viral vector, MVA expressing structural proteins",,Unknown,,"Same platform as vaccine candidates for HIV, HCV, CHIKV, EBOV, Zika, Malaria, Leishmania",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Erciyes University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adeno5-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/3/2020
GeoVax / BravoVax/ NIAID/ NIH/ University of Texas Medical Branch ,Vaccine,Non-replicating viral vector,Pre-clinical,"Awarded a Small Business Innovative Research (SBIR) grant in January 2021 to support the ongoing design, construction, and preclinical testing in preparation for human clinical trials",Non-replicating viral vector; MVA encoded VLP,,National Institute of Allergy and Infectious Diseases (NIAID)/National Institutes of Health (NIH),,"Same platform as vaccine candidates for LASV, EBOV, MARV, HIV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
"Globe Biotech Limited, Bangladesh",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus Type 5 Vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Greffex,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; Ad5 S (GREVAX™ platform),,Unknown,,"Same platform as vaccine candidates for MERS
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ID Pharma,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Sendai virus vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,MVA-S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
"Institut
  Pasteur/ TheraVectys",Vaccine,Non-replicating viral vector,Pre-clinical,Animal study results released July 2020,Intranasal lentiviral vector vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/2/2020
"Massachusetts Eye and Ear/ AveXis, a Novartis Company/  Viralgen/ Aldevron/ Catalent/ Penn Medicine",Vaccine,Non-replicating viral vector,Pre-clinical,Pre-clinical results released January 2021; Phase I to begin second half of 2020,"AAVCOVID, Adeno-associated viral vector (AAV), spike protein",,Gates Foundation,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/29/2021
"National
  Research Centre, Egypt",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Influenza A H1N1 vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"National Center for Genetic Engineering and Biotechnology (BIOTEC)/ GPO, Thailand",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
Stabilitech Biopharma Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Oral Ad5 S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
University of Georgia/ University of Iowa,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,,Unknown,,Same platform as vaccine candidates for MERS ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
University of Helsinki/ University of Eastern Finland,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Ad 5 vector for intranasal administration,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Valo Therapeutics Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based + HLA-matched peptides (Pan-Corona),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Anhui Zhifei Longcom Biopharmaceutical/ Institute of Microbiology, Chinese Academy of Sciences",Vaccine,Protein subunit,Phase III,Phase III began December 2020; Phase I and II safety and immunogenicity data released December 2020; Phase II began July 2020; Received approval to launch clinical trials in China in June 2020,Adjuvanted recombinant protein (RBD-Dimer); ( ZF2001),"NCT04445194, NCT04466085, NCT04550351, NCT04646590",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.20.20248602v1),Same platform as vaccine candidates for MERS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Instituto Finlay de Vacunas,Vaccine,Protein subunit,Phase III,Phase III began March 2021; Phase II began December 2020; Phase I began October 2020,rRBD produced in CHO-cell chemically conjugate to tetanus toxoid; (FINLAY-FR-2) (SOBERANA 02),"IFV/COR/06 (RPCEC00000340), IFV/COR/08 (RPCEC00000347), IFV/COR/09 (RPCEC00000354)",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
Novavax/Emergent Biosolutions/ Praha Vaccines/ Biofabri/ Fujifilm Diosynth Biotechnologies/ FDB/ Serum Institute of India/ SK bioscience/ Takeda Pharmaceutical Company Limited/ AGC Biologics/ PolyPeptide Group/ Endo,Vaccine,Protein subunit,Phase III,"Announced the start of the rolling review process with several regulatory agencies worldwide on 2/4/2021, including the European Medicines Agency (EMA), U.S. Food and Drug Administration (FDA), U.K. Medicines and Healthcare products Regulatory Agency (MHRA), and Health Canada; Phase III (UK) and Phase IIb ( South Africa) results released 1/28/2021; Phase III trial (PREVENT-19) initiated in the US and Mexico in December 2020, trial protocol released on website; FDA granted Fast Track Designation on 11/9/2020; Phase III dosed in the UK in October 2020, trial protocol released on website, interim data expected to be released in Q1 2021; Phase IIb trial began Aug 2020; Selected for US Operation Warp Speed July 2020; Phase I/II began end of May 2020, interim data expected to be released on 10/30/2020; Animal study & preliminary Phase I results released Aug 2020, Phase I results published Sept 2020",Protein subunit; Full length recombinant SARs COV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M; (NVX-CoV2373) (SARS-CoV-2 rS),"EudraCT 2020-004123-16, NCT04368988, NCT04533399, NCT04583995, NCT04611802",Coalition for Epidemic Preparedness (CEPI)/ US Department of Defense/ Gates Foundation,"medRxiv (https://www.medrxiv.org/content/10.1101/2020.08.05.20168435v1), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2026920), Novavax (https://ir.novavax.com/news-releases/news-release-details/novavax-covid-19-vaccine-demonstrates-893-efficacy-uk-phase-3)","Same platform as vaccine candidates for RSV, CCHF, HPV, VZV, EBOV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/2/2021
Medigen Vaccine Biologics Corp/ NIAID/ Dynavax,Vaccine,Protein subunit,Phase II,Phase II dosed January 2021; Phase I dosed in early October 2020; Received conditional approval for clinical testing on Aug 31 and was given full approval on Sept 30; Pre-clinical data released August 2020 and published November 2020,MVC-COV1901 vaccine injection; S-2 P protein + CpG 1018,"NCT04487210, NCT04695652",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/28/2021
Sanofi Pasteur/ GSK,Vaccine,Protein subunit,Phase II,Phase II with refined antigen formulation began February 2021; Phase I/II interim safety and immunogenicity results released January 2021; Phase IIb expected to begin February 2021; Phase I/II interim results announced December 2020; Phase I/II began September 2020; Selected for US Operation Warp Speed in April 2020 and awarded funding in July 2020 ,"Protein subunit; S protein, baculovirus production","NCT04537208, NCT04762680, PACTR202011523101903",Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Health and Human Services (HHS)/ US Department of Defense (DoD),"Sanofi and GSK (https://www.sanofi.com/en/media-room/press-releases/2020/2020-12-11-07-00-00), medRxiv (https://www.medrxiv.org/content/10.1101/2021.01.19.20248611v1.full)","Same platform as vaccine candidates for Influenza, SARS-CoV (FDA approved vaccine)",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
"West China Hospital, Sichuan University",Vaccine,Protein subunit,Phase II,Phase II began November 2020; Phase I began end of August 2020; Animal study data published July 2020,"RBD (baculovirus production
expressed in Sf9 cells)","ChiCTR2000037518, ChiCTR2000039994, NCT04530656, NCT04640402, NCT04718467",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/4/2021
Biological E Ltd/ Dynavax/ Baylor College of Medicine,Vaccine,Protein subunit,Phase I/II,"CEPI partnership announced December 2020; Phase I/II began November 2020, interim data expected Q1 2021",Protein subunit; (BECOV2),CTRI/2020/11/029032,Coalition for Epidemic Preparedness Innovations (CEPI),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Vaccine,Protein subunit,Phase I/II,Phase I of Phase I/II (MAMBISA) trial began December 2020,CIGB-669 (RBD-AgnHB),RPCEC00000345,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Protein subunit,Phase I/II,Efficacy results expected to be announced in February 2021; Received early approval for use in Russia in October 2020; Phase I/II trial began end of July 2020,"Peptide vaccine, EpiVacCorona",NCT04527575,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
Instituto Finlay de Vacunas,Vaccine,Protein subunit,Phase I/II,Phase I/II began August 2020 ,RBD + Adjuvant (FINLAY-FR-1) (SOBERANA 01),"IFV/COR/04 (RPCEC00000332), IFV/COR/05 (RPCEC00000338)",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
"Nanogen
  Pharmaceutical Biotechnology",Vaccine,Protein subunit,Phase I/II,Phase I/II began December 2020,"Recombinant SARS-CoV-2 spike protein, aluminum adjuvanted",NCT04683484,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
"Shionogi & Co., Ltd./ National Institute of Infectious Disease, Japan",Vaccine,Protein subunit,Phase I/II,Phase I/II began December 2020,"Recombinant protein vaccine S-268019, baculovirus expression",jRCT2051200092,Japan Agency for Medical Research and Development ,,Same platform as vaccine candidates for Influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
"VIDO-InterVac, University of Saskatchewan",Vaccine,Protein subunit,Phase I/II,Phase I/II dosed February 2021; Animal testing results expected in April 2020,"Protein subunit, adjuvanted microsphere peptide, (COVAC-1 & COVAC-2)",NCT04702178,The Government of Saskatchewan and the Canadian Federal Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
"Adimmune
  Corporation",Vaccine,Protein subunit,Phase I,Phase I began end of August 2020; Phase II expected to begin November 2020,"Baculovirus-insect cells expression system, spike (S) protein (tAdimrSC-2f)",NCT04522089,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/2/2020
"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Vaccine,Protein subunit,Phase I,"Phase II expected to begin February 2021, Phase I (ABDALA) trial began December 2020",CIGB-66 (RBD + aluminum hydroxide),RPCEC00000346,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Clover Biopharmaceuticals Inc./ Dynavax,Vaccine,Protein subunit,Phase I,"Clover and GSK discontinued their partnership as of February 2021; Phase I safety and immunogenicity data released December 2020 and published January 2021; Phase II/III trial with Dynavax adjuvant expected to begin during first half of 2021; Phase II/III trial with GSK adjuvant is not expected to move forward; Pre-clinical results released September 2020; CEPI partnership expanded in July and November 2020, Phase I trial began June 2020, preliminary results expected in the near future","Protein subunit, native like trimeric subunit spike protein; (SCB-2019)","NCT04405908, NCT04672395",Coalition for Epidemic Preparedness (CEPI),"Clover Biopharmaceuticals (http://www.cloverbiopharma.com/index.php?m=content&c=index&a=show&catid=11&id=53), medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.03.20243709v1), The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00241-5/fulltext)","Same platform as vaccine candidates for HIV, RSV, Influenza",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/11/2021
Covaxx/ University of Nebraska Medical Center (UNMC)/ DASA/ United Biomedical Inc. Asia,Vaccine,Protein subunit,Phase I,"Phase I interim data announced 2/8/2021; Phase II began February 2021; Phase II clinical trials granted conditional approval by Taiwan's Ministry of Health and Welfare on 1/29/2021; Phase II/III expected to begin (US, Brazil, Taiwan, and India) in early 2021; Phase I began September 2020; Large scale human efficacy clinical trials expected to be conducted in Brazil and the US",S1-RBD-protein; Multitope Peptide-Based Vaccine (MVP); UB-612,"NCT04545749, NCT04683224, NCT04773067",Ministry of Health and Welfare in Taiwan,COVAXX (https://www.businesswire.com/news/home/20210208005198/en),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/9/2021
Razi Vaccine and Serum Research Institute,Vaccine,Protein subunit,Phase I,Phase I began end of February 2021,SARS-CoV-2 recombinant Spike protein vaccine (Razi Cov Pars),IRCT20201214049709N1,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/4/2021
University Hospital Tuebingen,Vaccine,Protein subunit,Phase I,Phase I began December 2020,"SARS-CoV-2 HLA-DR peptides, (CoVAC-1)",NCT04546841,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/27/2021
Vaxine Pty Ltd/ Flinders University/ Oracle/ Medytox/ Sypharma/ Oxford Expression Technologies,Vaccine,Protein subunit,Phase I,Phase I trial began July 2020,Protein subunit; recombinant spike protein with Advax adjuvant (COVAX-19),NCT04453852,Innovate UK/ Australian Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/1/2020
AdaptVac (PREVENT-nCoV consortium),Vaccine,Protein subunit,Pre-clinical,Pre-clinical data published January 2021; initial Phase I/IIa results expected to be released in Q1 2021,"Protein subunit, capsid-like particle (CLP)",,European Commission (Horizon 2020 Program),,Same platform as vaccine candidates for HPV  ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
AJ Vaccines,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
AnyGo Technology,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant S1-Fc fusion protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Applied Biotechnology Institute, Inc.",Vaccine,Protein subunit,Pre-clinical,Unknown,"Orally delivered, heat stable subunit",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Axon Neuroscience SE,Vaccine,Protein subunit,Pre-clinical,Pre-clinical results released September 2020,Peptides derived from Spike protein; (ACvac1),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Baiya Phytopharm/ Chula Vaccine Research Center,Vaccine,Protein subunit,Pre-clinical,Unknown,Plant-based subunit (RBD-Fc + Adjuvant),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
Baylor College of Medicine,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S1 or RBD protein,,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
BiOMVis Srl/ University of Trento,Vaccine,Protein subunit,Pre-clinical,Unknown,OMV-based vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Bogazici University,Vaccine,Protein subunit,Pre-clinical,Unknown,Peptide + novel adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Chulalongkorn University/ GPO, Thailand",Vaccine,Protein subunit,Pre-clinical,Unknown,RBD protein fused with Fc of IgG + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
EpiVax ,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit EPV-CoV-19,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
EpiVax / University of Georgia,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S protein,,Unknown,,Same platform as vaccine candidates for Inf H7N9,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ExpreS2ion,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, drosophila S2 insect cell expression system VLPs",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Farmacológicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),Vaccine,Protein subunit,Pre-clinical,Unknown,RBD protein (baculovirus production) + FAR-Squalene adjuvant,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Protein subunit,Pre-clinical,Unknown,Subunit vaccine ,,Unknown,,Same platform as vaccine candidates for Ebola,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Flow Pharma,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, peptide",,Unknown,,"Same platform as vaccine candidates for Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, Breast Cancer ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
